last_name, first_name,name,year,p_formatted_ip,p_earned_run,p_era
Reed, Addison, Addison Reed,2018,56,28,
Rumbelow, Nick, Nick Rumbelow,2018,17.2,12,
Sadzeck, Connor, Connor Sadzeck,2018,9.1,1,
Sampson, Adrian, Adrian Sampson,2018,23,11,
Sanchez, Aaron, Aaron Sanchez,2018,105,57,
Shreve, Chasen, Chasen Shreve,2018,52.2,23,
Smith, Caleb, Caleb Smith,2018,77.1,36,
Snelten, D.J., D.J. Snelten,2018,4.1,5,
Stanek, Ryne, Ryne Stanek,2018,66.1,22,
Stewart, Brock, Brock Stewart,2018,17.2,12,
Syndergaard, Noah, Noah Syndergaard,2018,154.1,52,
Taillon, Jameson, Jameson Taillon,2018,191,68,
Thornburg, Tyler, Tyler Thornburg,2018,24,15,
Triggs, Andrew, Andrew Triggs,2018,41.1,24,
Tuivailala, Sam, Sam Tuivailala,2018,37,14,
Velasquez, Vince, Vince Velasquez,2018,146.2,79,
Wahl, Bobby, Bobby Wahl,2018,5.1,6,
Walker, Taijuan, Taijuan Walker,2018,13,5,
Wick, Rowan, Rowan Wick,2018,8.1,6,
Williams, Taylor, Taylor Williams,2018,53,25,
Williams, Trevor, Trevor Williams,2018,170.2,59,
Feliz, Michael, Michael Feliz,2018,47.2,30,
Rodriguez, Richard, Richard Rodriguez,2018,69.1,19,
German, Domingo, Domingo German,2018,85.2,53,
Martinez, Carlos, Carlos Martinez,2018,118.2,41,
Montas, Frankie, Frankie Montas,2018,65,28,
Neris, Hector, Hector Neris,2018,47.2,27,
Suero, Wander, Wander Suero,2018,47.2,19,
Rodriguez, Eduardo, Eduardo Rodriguez,2018,129.2,55,
Peralta, Wandy, Wandy Peralta,2018,45.1,27,
Guerrero, Tayron, Tayron Guerrero,2018,58,35,
Guduan, Reymin, Reymin Guduan,2018,3.1,1,
Mayers, Mike, Mike Mayers,2018,51.2,27,
Asher, Alec, Alec Asher,2018,3,0,
deGrom, Jacob, Jacob deGrom,2018,217,41,
Gonzales, Marco, Marco Gonzales,2018,166.2,74,
Grace, Matt, Matt Grace,2018,59.2,19,
Lively, Ben, Ben Lively,2018,30.1,19,
Ponce de Leon, Daniel, Daniel Ponce de Leon,2018,33,10,
Sadler, Casey, Casey Sadler,2018,4.1,4,
Shackelford, Kevin, Kevin Shackelford,2018,8,7,
Treinen, Blake, Blake Treinen,2018,80.1,7,
Eickhoff, Jerad, Jerad Eickhoff,2018,5.1,4,
Haley, Justin, Justin Haley,2018,7.2,4,
Okert, Steven, Steven Okert,2018,7.1,1,
Sherriff, Ryan, Ryan Sherriff,2018,5.2,4,
Winkler, Dan, Dan Winkler,2018,60.1,23,
Beede, Tyler, Tyler Beede,2018,7.2,7,
Burdi, Nick, Nick Burdi,2018,1.1,3,
Cole, A.J., A.J. Cole,2018,48.1,33,
Curtiss, John, John Curtiss,2018,6.1,4,
Junis, Jakob, Jakob Junis,2018,177,86,
Maples, Dillon, Dillon Maples,2018,5.1,7,
Mengden, Daniel, Daniel Mengden,2018,115.2,52,
Norris, Daniel, Daniel Norris,2018,44.1,28,
Peters, Dillon, Dillon Peters,2018,27.2,22,
Poyner, Bobby, Bobby Poyner,2018,22.1,8,
Shafer, Justin, Justin Shafer,2018,8.1,3,
Stephenson, Robert, Robert Stephenson,2018,11.2,12,
Weaver, Luke, Luke Weaver,2018,136.1,75,
Lawrence, Casey, Casey Lawrence,2018,23.1,19,
Gomber, Austin, Austin Gomber,2018,75,37,
Quinn, Roman, Roman Quinn,2018,1.2,7,
Neverauskas, Dovydas, Dovydas Neverauskas,2018,27,24,
Gomez, Roberto, Roberto Gomez,2018,9.1,8,
Johnson, DJ, DJ Johnson,2018,6.1,3,
Barnes, Matt, Matt Barnes,2018,61.2,25,
Johnson, Brian, Brian Johnson,2018,99.1,46,
Ramirez, Noe, Noe Ramirez,2018,83.1,42,
Saupold, Warwick, Warwick Saupold,2018,34.1,17,
Leclerc, Jose, Jose Leclerc,2018,57.2,10,
Paulino, David, David Paulino,2018,6.2,1,
Rodriguez, Ricardo, Ricardo Rodriguez,2018,6.2,3,
Rosario, Randy, Randy Rosario,2018,46.2,19,
Vieira, Thyago, Thyago Vieira,2018,17.2,14,
Pivetta, Nick, Nick Pivetta,2018,164,87,
Almonte, Miguel, Miguel Almonte,2018,7,8,
Anderson, Justin, Justin Anderson,2018,55.1,25,
Barlow, Scott, Scott Barlow,2018,15,6,
Bassitt, Chris, Chris Bassitt,2018,47.2,16,
Black, Ray, Ray Black,2018,23.1,16,
Bradley, Archie, Archie Bradley,2018,71.2,29,
Brebbia, John, John Brebbia,2018,50.2,18,
Brewer, Colten, Colten Brewer,2018,9.2,6,
Brooks, Aaron, Aaron Brooks,2018,2.2,0,
Bundy, Dylan, Dylan Bundy,2018,171.2,104,
Chafin, Andrew, Andrew Chafin,2018,49.1,17,
Clevinger, Mike, Mike Clevinger,2018,200,67,
Crick, Kyle, Kyle Crick,2018,60.1,16,
Davies, Zach, Zach Davies,2018,66,35,
Edwards Jr., Carl, Carl Edwards Jr.,2018,52,15,
Finnegan, Brandon, Brandon Finnegan,2018,20.2,17,
Fry, Jace, Jace Fry,2018,51.1,25,
Fulmer, Michael, Michael Fulmer,2018,132.1,69,
Gossett, Daniel, Daniel Gossett,2018,24.1,14,
Graves, Brett, Brett Graves,2018,33.1,20,
Guerrieri, Taylor, Taylor Guerrieri,2018,9.2,5,
Hess, David, David Hess,2018,103.1,56,
Holmes, Clay, Clay Holmes,2018,26.1,20,
Houser, Adrian, Adrian Houser,2018,13.2,5,
Jerez, Williams, Williams Jerez,2018,15,10,
Kela, Keone, Keone Kela,2018,52,19,
Lopez, Jorge, Jorge Lopez,2018,53.2,30,
Marshall, Evan, Evan Marshall,2018,7,6,
Morgan, Adam, Adam Morgan,2018,49.1,21,
Musgrove, Joe, Joe Musgrove,2018,115.1,52,
Nola, Aaron, Aaron Nola,2018,212.1,56,
Rios, Yacksel, Yacksel Rios,2018,36,27,
Rodriguez, Dereck, Dereck Rodriguez,2018,118.1,37,
Ross, Joe, Joe Ross,2018,16,9,
Smith, Carson, Carson Smith,2018,14.1,6,
Snell, Blake, Blake Snell,2018,180.2,38,
Spangenberg, Cory, Cory Spangenberg,2018,2,3,
Springs, Jeffrey, Jeffrey Springs,2018,32,12,
Suarez, Andrew, Andrew Suarez,2018,160.1,80,
Tarpley, Stephen, Stephen Tarpley,2018,9,3,
Turnbull, Spencer, Spencer Turnbull,2018,16.1,11,
Wendelken, J.B., J.B. Wendelken,2018,16.2,1,
Wisler, Matt, Matt Wisler,2018,40,19,
Woodruff, Brandon, Brandon Woodruff,2018,42.1,17,
Wright, Mike, Mike Wright,2018,84.1,52,
Perdomo, Luis, Luis Perdomo,2018,44.2,35,
Gallegos, Giovanny, Giovanny Gallegos,2018,11.1,5,
Ramirez, Yefry, Yefry Ramirez,2018,65.1,43,
Mejia, Adalberto, Adalberto Mejia,2018,22.1,5,
Elias, Roenis, Roenis Elias,2018,51,15,
Garcia, Jarlin, Jarlin Garcia,2018,66,36,
Araujo, Pedro, Pedro Araujo,2018,28,24,
Moronta, Reyes, Reyes Moronta,2018,65,18,
Barnes, Jacob, Jacob Barnes,2018,48.2,18,
Carroll, Cody, Cody Carroll,2018,17,17,
Devenski, Chris, Chris Devenski,2018,47.1,22,
Glover, Koda, Koda Glover,2018,16.1,6,
Hancock, Justin, Justin Hancock,2018,12.1,2,
Rodon, Carlos, Carlos Rodon,2018,120.2,56,
Faria, Jake, Jake Faria,2018,65,39,
Glasnow, Tyler, Tyler Glasnow,2018,111.2,53,
Fedde, Erick, Erick Fedde,2018,50.1,31,
Skoglund, Eric, Eric Skoglund,2018,70,40,
Krehbiel, Joey, Joey Krehbiel,2018,3,0,
Romano, Sal, Sal Romano,2018,145.2,86,
Gsellman, Robert, Robert Gsellman,2018,80,38,
Gant, John, John Gant,2018,114,44,
Garrett, Amir, Amir Garrett,2018,63,30,
Biagini, Joe, Joe Biagini,2018,72,48,
Tropeano, Nick, Nick Tropeano,2018,76,40,
Banda, Anthony, Anthony Banda,2018,14.2,6,
Barraclough, Kyle, Kyle Barraclough,2018,55.2,26,
Bradford, Chasen, Chasen Bradford,2018,53.2,22,
Bummer, Aaron, Aaron Bummer,2018,31.2,15,
Freeland, Kyle, Kyle Freeland,2018,202.1,64,
Howard, Sam, Sam Howard,2018,4,1,
Lugo, Seth, Seth Lugo,2018,101.1,30,
Means, John, John Means,2018,3.1,5,
Vasquez, Andrew, Andrew Vasquez,2018,5,3,
Rucinski, Drew, Drew Rucinski,2018,35.1,17,
De Jong, Chase, Chase De Jong,2018,17.2,7,
Fried, Max, Max Fried,2018,33.2,11,
Fulmer, Carson, Carson Fulmer,2018,32.1,29,
Giolito, Lucas, Lucas Giolito,2018,173.1,118,
Knebel, Corey, Corey Knebel,2018,55.1,22,
Sims, Lucas, Lucas Sims,2018,15.2,13,
Wacha, Michael, Michael Wacha,2018,84.1,30,
Marquez, German, German Marquez,2018,196,82,
Santos, Luis, Luis Santos,2018,20,16,
Chargois, JT, JT Chargois,2018,32.1,12,
Duffey, Tyler, Tyler Duffey,2018,25,20,
Farrell, Luke, Luke Farrell,2018,31.1,18,
Graveman, Kendall, Kendall Graveman,2018,34.1,29,
Leone, Dominic, Dominic Leone,2018,24,12,
Steckenrider, Drew, Drew Steckenrider,2018,64.2,28,
Stratton, Chris, Chris Stratton,2018,145,82,
Suter, Brent, Brent Suter,2018,101.1,50,
Voth, Austin, Austin Voth,2018,12.1,9,
Bracho, Silvino, Silvino Bracho,2018,31,11,
Castro, Miguel, Miguel Castro,2018,86.1,38,
Chen, Wei-Yin, Wei-Yin Chen,2018,133.1,71,
Ruiz, Jose, Jose Ruiz,2018,4.1,2,
Castillo, Jose, Jose Castillo,2018,38.1,14,
Reyes, Alex, Alex Reyes,2018,4,0,
Wood, Hunter, Hunter Wood,2018,41,17,
Hanhold, Eric, Eric Hanhold,2018,2.1,2,
Eflin, Zach, Zach Eflin,2018,128,62,
Buehler, Walker, Walker Buehler,2018,137.1,40,
Blackburn, Paul, Paul Blackburn,2018,27.2,22,
Burr, Ryan, Ryan Burr,2018,9.2,8,
McCullers Jr., Lance, Lance McCullers Jr.,2018,128.1,55,
Lockett, Walker, Walker Lockett,2018,15,16,
Buttrey, Ty, Ty Buttrey,2018,16.1,6,
Bowman, Matt, Matt Bowman,2018,23,16,
Mills, Alec, Alec Mills,2018,18,8,
Alvarado, Jose, Jose Alvarado,2018,64,17,
Diaz, Edwin, Edwin Diaz,2018,73.1,16,
Berrios, Jose, Jose Berrios,2018,192.1,82,
Underwood Jr., Duane, Duane Underwood Jr.,2018,4,1,
Oswalt, Corey, Corey Oswalt,2018,64.2,42,
Schultz, Jaime, Jaime Schultz,2018,30.1,19,
Wittgren, Nick, Nick Wittgren,2018,33.2,11,
Minter, A.J., A.J. Minter,2018,61.1,22,
Frare, Caleb, Caleb Frare,2018,7,4,
Borucki, Ryan, Ryan Borucki,2018,97.2,42,
Strahm, Matt, Matt Strahm,2018,61.1,14,
Stumpf, Daniel, Daniel Stumpf,2018,38.1,21,
Blach, Ty, Ty Blach,2018,118.2,56,
Olson, Tyler, Tyler Olson,2018,27.1,15,
Wood, Alex, Alex Wood,2018,151.2,62,
Almonte, Yency, Yency Almonte,2018,14.2,3,
Thompson, Jake, Jake Thompson,2018,16.1,9,
Smith, Drew, Drew Smith,2018,28,11,
Paredes, Eduardo, Eduardo Paredes,2018,18.1,14,
O'Grady, Chris, Chris O'Grady,2018,7,5,
Wingenter, Trey, Trey Wingenter,2018,19,8,
Moya, Gabriel, Gabriel Moya,2018,36.1,19,
Rodriguez, Jefry, Jefry Rodriguez,2018,52,33,
Castillo, Luis, Luis Castillo,2018,169.2,81,
Mella, Keury, Keury Mella,2018,9.1,9,
Alcantara, Victor, Victor Alcantara,2018,30,8,
Dominguez, Seranthony, Seranthony Dominguez,2018,58,19,
Senzatela, Antonio, Antonio Senzatela,2018,90.1,44,
Severino, Luis, Luis Severino,2018,191.1,72,
Hernandez, Elieser, Elieser Hernandez,2018,65.2,38,
Diaz, Miguel, Miguel Diaz,2018,18.2,10,
Cordero, Jimmy, Jimmy Cordero,2018,19,12,
Fernandez, Jose Manuel, Jose Manuel Fernandez,2018,10.1,7,
Baez, Sandy, Sandy Baez,2018,14.1,8,
Mendez, Yohander, Yohander Mendez,2018,27.2,17,
Romero, Fernando, Fernando Romero,2018,55.2,29,
Sewald, Paul, Paul Sewald,2018,56.1,38,
Flexen, Chris, Chris Flexen,2018,6.1,9,
Oberg, Scott, Scott Oberg,2018,58.2,16,
Hader, Josh, Josh Hader,2018,81.1,22,
Zamora, Daniel, Daniel Zamora,2018,9,3,
Wieck, Brad, Brad Wieck,2018,7,1,
Pannone, Thomas, Thomas Pannone,2018,43,20,
Peterson, Tim, Tim Peterson,2018,27.2,19,
Dull, Ryan, Ryan Dull,2018,25.1,12,
Hauschild, Mike, Mike Hauschild,2018,8.1,4,
Stephens, Jackson, Jackson Stephens,2018,38.1,21,
Anderson, Drew, Drew Anderson,2018,12.2,7,
Phillips, Evan, Evan Phillips,2018,11.2,17,
Newberry, Jake, Jake Newberry,2018,13.1,7,
Suarez, Ranger, Ranger Suarez,2018,15,9,
Gonsalves, Stephen, Stephen Gonsalves,2018,24.2,18,
Lopez, Reynaldo, Reynaldo Lopez,2018,188.2,82,
Tseng, Jen-Ho, Jen-Ho Tseng,2018,2,3,
Gohara, Luiz, Luiz Gohara,2018,19.2,13,
Maeda, Kenta, Kenta Maeda,2018,125.1,53,
Makita, Kazuhisa, Kazuhisa Makita,2018,35,21,
Despaigne, Odrisamer, Odrisamer Despaigne,2018,39,29,
Iglesias, Raisel, Raisel Iglesias,2018,72,19,
Urias, Julio, Julio Urias,2018,4,0,
Hu, Chih-Wei, Chih-Wei Hu,2018,13,6,
Chirinos, Yonny, Yonny Chirinos,2018,89.2,35,
Bautista, Gerson, Gerson Bautista,2018,4.1,6,
Manaea, Sean, Sean Manaea,2018,160.2,64,
Shipley, Braden, Braden Shipley,2018,5,4,
Stewart, Kohl, Kohl Stewart,2018,36.2,15,
Parsons, Wes, Wes Parsons,2018,5,4,
Lopez, Pablo, Pablo Lopez,2018,58.2,27,
Bashlor, Tyler, Tyler Bashlor,2018,32,15,
Busenitz, Alan, Alan Busenitz,2018,25.1,22,
Carle, Shane, Shane Carle,2018,63,20,
Cortes Jr., Nestor, Nestor Cortes Jr.,2018,4.2,4,
Crockett, Kyle, Kyle Crockett,2018,9.1,6,
Danish, Tyler, Tyler Danish,2018,6.1,5,
Fillmyer, Heath, Heath Fillmyer,2018,82.1,39,
Gott, Trevor, Trevor Gott,2018,19,12,
Hamilton, Ian, Ian Hamilton,2018,8,4,
Hudson, Dakota, Dakota Hudson,2018,27.1,8,
Jimenez, Joe, Joe Jimenez,2018,62.2,30,
Keller, Brad, Brad Keller,2018,140.1,48,
Kinley, Tyler, Tyler Kinley,2018,11,15,
Kuhl, Chad, Chad Kuhl,2018,85,43,
Lauer, Eric, Eric Lauer,2018,112,54,
Littell, Zack, Zack Littell,2018,20.1,14,
Mahle, Tyler, Tyler Mahle,2018,112,62,
Mayza, Tim, Tim Mayza,2018,35.2,13,
McCarthy, Kevin, Kevin McCarthy,2018,72,26,
McGowin, Kyle, Kyle McGowin,2018,7.2,5,
Middleton, Keynan, Keynan Middleton,2018,17.2,4,
Pagan, Emilio, Emilio Pagan,2018,62,30,
Pelham, CD, CD Pelham,2018,7.2,6,
Reed, Cody, Cody Reed,2018,43,19,
Rhame, Jacob, Jacob Rhame,2018,32.1,21,
Rogers, Josh, Josh Rogers,2018,11.2,11,
Sherfy, Jimmie, Jimmie Sherfy,2018,16.1,3,
Slegers, Aaron, Aaron Slegers,2018,13.2,8,
Sparkman, Glenn, Glenn Sparkman,2018,38.1,19,
Trivino, Lou, Lou Trivino,2018,74,24,
Yacabonis, Jimmy, Jimmy Yacabonis,2018,40,24,
Yarbrough, Ryan, Ryan Yarbrough,2018,147.1,64,
Zastryzny, Rob, Rob Zastryzny,2018,5.2,3,
Loaisiga, Jonathan, Jonathan Loaisiga,2018,24.2,14,
Barria, Jaime, Jaime Barria,2018,129.1,49,
Peralta, Freddy, Freddy Peralta,2018,78.1,37,
Jurado, Ariel, Ariel Jurado,2018,54.2,36,
Gonzalez, Merandy, Merandy Gonzalez,2018,22,14,
Santana, Dennis, Dennis Santana,2018,3.2,5,
Brault, Steven, Steven Brault,2018,91.2,47,
Cimber, Adam, Adam Cimber,2018,68.1,26,
Fry, Paul, Paul Fry,2018,37.2,14,
Gardewine, Nick, Nick Gardewine,2018,5,2,
Godley, Zack, Zack Godley,2018,178.1,94,
Green, Chad, Chad Green,2018,75.2,21,
Hart, Donnie, Donnie Hart,2018,19.1,12,
Leiter Jr., Mark, Mark Leiter Jr.,2018,23.1,20,
Musgrave, Harrison, Harrison Musgrave,2018,44.2,23,
Pruitt, Austin, Austin Pruitt,2018,69.2,36,
Reininger, Zac, Zac Reininger,2018,21.1,18,
Webb, Tyler, Tyler Webb,2018,20.1,10,
Arano, Victor, Victor Arano,2018,59.1,18,
Scribner, Troy, Troy Scribner,2018,3.2,2,
Alcantara, Sandy, Sandy Alcantara,2018,34,13,
Soroka, Mike, Mike Soroka,2018,25.2,10,
Santana, Edgar, Edgar Santana,2018,66.1,24,
Castillo, Diego, Diego Castillo,2018,56.2,20,
Altavilla, Dan, Dan Altavilla,2018,20.2,6,
Beeks, Jalen, Jalen Beeks,2018,50.2,31,
Brigham, Jeff, Jeff Brigham,2018,16.1,11,
Davis, Austin, Austin Davis,2018,34.2,16,
Flaherty, Jack, Jack Flaherty,2018,151,56,
Hoffman, Jeff, Jeff Hoffman,2018,8.2,9,
Holder, Jonathan, Jonathan Holder,2018,66,23,
Kopech, Michael, Michael Kopech,2018,14.1,8,
McRae, Alex, Alex McRae,2018,6.1,4,
Meyer, Ben, Ben Meyer,2018,19,22,
Montgomery, Jordan, Jordan Montgomery,2018,27.1,11,
Newcomb, Sean, Sean Newcomb,2018,164,71,
Nix, Jacob, Jacob Nix,2018,42.1,33,
Norwood, James, James Norwood,2018,11,5,
Oaks, Trevor, Trevor Oaks,2018,13.2,11,
Ortiz, Luis, Luis Ortiz,2018,2.1,4,
Reid-Foley, Sean, Sean Reid-Foley,2018,33.1,19,
Scott, Tanner, Tanner Scott,2018,53.1,32,
Sheffield, Justus, Justus Sheffield,2018,2.2,3,
Sobotka, Chad, Chad Sobotka,2018,14.1,3,
Toussaint, Touki, Touki Toussaint,2018,29,13,
Williams, Austen, Austen Williams,2018,9.2,6,
Wright, Kyle, Kyle Wright,2018,6,3,
Curtis, Zac, Zac Curtis,2018,16.1,9,
Deetz, Dean, Dean Deetz,2018,3.1,2,
Jewell, Jake, Jake Jewell,2018,2,2,
Ferguson, Caleb, Caleb Ferguson,2018,49,19,
Hildenberger, Trevor, Trevor Hildenberger,2018,73,44,
Hill, Tim, Tim Hill,2018,45.2,23,
James, Josh, Josh James,2018,23,6,
McGrath, Kyle, Kyle McGrath,2018,4,2,
Stout, Eric, Eric Stout,2018,2.1,6,
Vasto, Jerry, Jerry Vasto,2018,4.1,4,
Wilkerson, Aaron, Aaron Wilkerson,2018,9,10,
Ohtani, Shohei, Shohei Ohtani,2018,51.2,19,
De Los Santos, Enyel, Enyel De Los Santos,2018,19,10,
Reyes, Jesus, Jesus Reyes,2018,5.2,2,
Lopez, Yoan, Yoan Lopez,2018,9,3,
Rainey, Tanner, Tanner Rainey,2018,7,19,
Allard, Kolby, Kolby Allard,2018,8,11,
Hicks, Jordan, Jordan Hicks,2018,77.2,31,
Kennedy, Brett, Brett Kennedy,2018,26.2,20,
Hall, Matt, Matt Hall,2018,8,13,
Lucchesi, Joey, Joey Lucchesi,2018,130,59,
Anderson, Tanner, Tanner Anderson,2018,11.1,8,
Maton, Phil, Phil Maton,2018,47.1,23,
Valdez, Framber, Framber Valdez,2018,37,9,
Miranda, Ariel, Ariel Miranda,2018,5,1,
Meisinger, Ryan, Ryan Meisinger,2018,21,15,
Taylor, Ben, Ben Taylor,2018,6,4,
Adams, Chance, Chance Adams,2018,7.2,6,
Conlon, P.J., P.J. Conlon,2018,7.2,7,
Wilson, Bryse, Bryse Wilson,2018,7,5,
Burnes, Corbin, Corbin Burnes,2018,38,11,
Bieber, Shane, Shane Bieber,2018,114.2,58,
Festa, Matt, Matt Festa,2018,8.1,2,
Richards, Trevor, Trevor Richards,2018,126.1,62,
Perez, Cionel, Cionel Perez,2018,11.1,5,
Hirano, Yoshihisa, Yoshihisa Hirano,2018,66.1,18,
